date,value
2024-01-01,15.606488297786584
2024-01-02,21.674148388171922
2024-01-03,19.416149166580407
2024-01-04,24.336365365981525
2024-01-05,23.651523653851417
2024-01-06,22.120748010259124
2024-01-07,18.591438713259183
2024-01-08,24.533966898458907
2024-01-09,25.331433844782474
2024-01-10,24.87346301135322
2024-01-11,22.84639043144372
2024-01-12,25.413356637792457
2024-01-13,22.24345005456444
2024-01-14,25.024002114242005
2024-01-15,25.57784680039525
2024-01-16,24.34425465380965
2024-01-17,22.708235532599918
2024-01-18,24.797906197507654
2024-01-19,23.379945475046668
2024-01-20,22.774610317935753
2024-01-21,28.444930822853234
2024-01-22,25.62301619657854
2024-01-23,24.848154270058203
2024-01-24,24.942170060874226
2024-01-25,27.35510081545286
2024-01-26,25.554034623950187
2024-01-27,24.648562514816568
2024-01-28,27.06995728225511
2024-01-29,26.752814074056516
2024-01-30,24.16392355389712
2024-01-31,23.701477749552506
2024-02-01,29.483444891565576
2024-02-02,25.52059857912058
2024-02-03,29.075894090098146
2024-02-04,27.469471290272168
2024-02-05,25.694827362339506
2024-02-06,25.13523849902503
2024-02-07,29.57421114077921
2024-02-08,23.808624658902378
2024-02-09,24.243902495109552
2024-02-10,22.972956316487394
2024-02-11,24.408376625119065
2024-02-12,22.25939275166137
2024-02-13,24.62313726291002
2024-02-14,21.004834740832813
2024-02-15,25.13056699515829
2024-02-16,24.426530559089954
2024-02-17,23.859184701020236
2024-02-18,21.592386050063315
2024-02-19,25.9670084813409
2024-02-20,27.486021754718802
2024-02-21,21.957831288998257
2024-02-22,20.118036668432268
2024-02-23,23.33812426112361
2024-02-24,20.978708562589713
2024-02-25,21.599405967310755
2024-02-26,22.590850257161087
2024-02-27,17.417082097440513
2024-02-28,22.318605806652613
2024-02-29,17.737107089209765
2024-03-01,17.029068799090545
2024-03-02,18.952094226802373
2024-03-03,23.31504080297774
2024-03-04,17.99364109407797
2024-03-05,20.537992478964554
2024-03-06,16.959194283845665
2024-03-07,20.66682228412714
2024-03-08,19.806667448059454
2024-03-09,21.77422752155159
2024-03-10,19.298455802475594
2024-03-11,18.81940831581147
2024-03-12,14.160521432772992
2024-03-13,19.530653967664886
2024-03-14,20.70420103665877
2024-03-15,19.27166806547624
2024-03-16,19.27277775113828
